ID	Cat. Number	Location	Country	Town	Permalink	Digital Library	Support	Date	Pages	Size	Title	Note	Genre	IIIF Manifest
M6200	M6200	Matenadaran	Armenia	Yerevan	http://daten.digitale-sammlungen.de/~db/0004/bsb00047142/images/	Bayerische Staatsbibliothek	Paper	887			Gospel Book		Bible	
M2364	M2364	Matenadaran	Armenia	Yerevan	https://archive.org/embed/lvangilearmn00macl	archive.org	Paper				L'Évangile arménien : édition phototypique du manuscrit no 229 de la Bibliothèque d'Etchmiadzin		Bible	
M3461	M3461	Matenadaran	Armenia	Yerevan	http://micro5.mscc.huji.ac.il/~armenia/website/index.html	Hebrew University of Jerusalem		1662	44 images		The Penitence of Adam	Inc.	Hagiography	
SIN87	Georgian Manuscripts 87	St. Catherine's Monastery, Mount Sinai	Egypt	Sinaï	https://www.loc.gov/item/00279387247-ms	Library of Congress	Paper		197 images		Aristotle's Categoriae with Commentary (Armenian)	Ms.	Philosophy	
MAF50	50	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md24wh249n0k	ARCA	Parchment	1342	354 folios	13 x 9 cm	Liturgical books (Eastern Christian)	Ms.	Liturgy	https://api.irht.cnrs.fr/ark:/63955/f5lzamu0bfq7/manifest.json
MAF51	51	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md59q237mr1r	ARCA	Parchment	1324	241 folios	11.8 x 8.5 cm	Manuel de chants	Ms.	Liturgy	https://api.irht.cnrs.fr/ark:/63955/fzxu9c5qyb49/manifest.json
MAF52	52	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md46qz20wq58	ARCA	Paper, Parchment	1400-1599	167 folios	18.8 x 12.5 cm	Livre des Lamentations	Ms.	Poetry	https://api.irht.cnrs.fr/ark:/63955/f92epws2uw39/manifest.json
MAF53	53	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md11xd07km86	ARCA	Parchment	1332	357 folios	12.7 x 9.2 cm	Liturgical books (Eastern Christian)	Ms.	Liturgy	https://api.irht.cnrs.fr/ark:/63955/fbcr3mm3psmc/manifest.json
MAF54	54	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md94hm50xv5s	ARCA	Paper	1500-1599	215 folios	13.5 x 8.5 cm	Rituel	Ms.	Liturgy	https://api.irht.cnrs.fr/ark:/63955/fdubgq8ozhvw/manifest.json
MAF55	55	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md33rv045p91	ARCA	Paper	1584	297 folios	21.8 x 15.5 cm	Liturgical books (Eastern Christian)	Ms.	Liturgy	https://api.irht.cnrs.fr/ark:/63955/fu8pzhcixm2w/manifest.json
